Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-1.96,-2.96
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.020e-03,6.46094,2.52
-2.000e-03,6.75062,2.52
-1.980e-03,7.05813,2.52375
-1.960e-03,7.32406,2.52391
-1.940e-03,7.61031,2.52133
-1.920e-03,7.85812,2.53094
-1.900e-03,8.10187,2.52633
-1.880e-03,8.3675,2.52422
-1.860e-03,8.58344,2.5275
-1.840e-03,8.79312,2.52531
-1.820e-03,8.96312,2.52937
-1.800e-03,9.1175,2.53133
-1.780e-03,9.27594,2.53266
-1.760e-03,9.41531,2.53313
-1.740e-03,9.56438,2.53625
-1.720e-03,9.67906,2.53773
-1.700e-03,9.75094,2.54094
-1.680e-03,9.82094,2.54203
-1.660e-03,9.87156,2.54508
-1.640e-03,9.90875,2.53891
-1.620e-03,9.90687,2.54656
-1.600e-03,9.9025,2.54695
-1.580e-03,9.87844,2.5518
-1.560e-03,9.82156,2.55156
-1.540e-03,9.75906,2.55266
-1.520e-03,9.64281,2.55648
-1.500e-03,9.54563,2.55187
-1.480e-03,9.43125,2.55203
-1.460e-03,9.28875,2.55344
-1.440e-03,9.12781,2.55141
-1.420e-03,8.97438,2.55516
-1.400e-03,8.79281,2.55508
-1.380e-03,8.57281,2.55687
-1.360e-03,8.35906,2.55828
-1.340e-03,8.10813,2.55719
-1.320e-03,7.86656,2.56305
-1.300e-03,7.60406,2.55648
-1.280e-03,7.34344,2.55992
-1.260e-03,7.05063,2.55961
-1.240e-03,6.75,2.5593
-1.220e-03,6.46781,2.55844
-1.200e-03,6.16531,2.55711
-1.180e-03,5.86906,2.56141
-1.160e-03,5.53531,2.55992
-1.140e-03,5.23062,2.55687
-1.120e-03,4.91812,2.5575
-1.100e-03,4.59875,2.55703
-1.080e-03,4.28531,2.55594
-1.060e-03,3.98625,2.55359
-1.040e-03,3.73937,2.54492
-1.020e-03,3.43687,2.54859
-1.000e-03,3.14969,2.55195
-9.800e-04,2.85438,2.51008
-9.600e-04,2.57812,2.33078
-9.400e-04,2.31406,2.08781
-9.200e-04,2.04125,1.83828
