Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-2.04,-0.42
,,
,,
,,
Label,,
TIME,CH1,CH2
-3.180e-03,5.88563,0.672969
-3.160e-03,5.58312,0.675547
-3.140e-03,5.2625,0.671562
-3.120e-03,4.955,0.67
-3.100e-03,4.64,0.674531
-3.080e-03,4.32313,0.667109
-3.060e-03,4.05813,0.669609
-3.040e-03,3.7875,0.669922
-3.020e-03,3.49531,0.666406
-3.000e-03,3.19094,0.669219
-2.980e-03,2.90563,0.666719
-2.960e-03,2.63344,0.659297
-2.940e-03,2.35187,0.666484
-2.920e-03,2.07375,0.659453
-2.900e-03,1.82437,0.662578
-2.880e-03,1.58719,0.661484
-2.860e-03,1.37531,0.658359
-2.840e-03,1.18125,0.652266
-2.820e-03,0.974063,0.653203
-2.800e-03,0.790313,0.62875
-2.780e-03,0.634063,0.530703
-2.760e-03,0.493125,0.411406
-2.740e-03,0.368438,0.297109
-2.720e-03,0.247187,0.2125
-2.700e-03,0.180625,0.137344
-2.680e-03,0.0921875,0.0742188
-2.660e-03,0.025,0.0289062
-2.640e-03,-0.0034375,-0.000703125
-2.620e-03,-0.010625,-0.0109375
-2.600e-03,0.0059375,-0.00132813
-2.580e-03,0.038125,0.023125
-2.560e-03,0.0653125,0.068125
-2.540e-03,0.155,0.125312
-2.520e-03,0.215937,0.199766
-2.500e-03,0.317813,0.277422
-2.480e-03,0.4525,0.385313
-2.460e-03,0.598125,0.506484
-2.440e-03,0.759688,0.606406
-2.420e-03,0.942188,0.6425
-2.400e-03,1.13687,0.644844
-2.380e-03,1.33875,0.637031
-2.360e-03,1.55375,0.629687
-2.340e-03,1.77125,0.62875
-2.320e-03,2.03094,0.631641
-2.300e-03,2.29844,0.629609
-2.280e-03,2.57281,0.636016
-2.260e-03,2.85094,0.625781
-2.240e-03,3.14875,0.622344
-2.220e-03,3.43469,0.626172
-2.200e-03,3.72281,0.628672
-2.180e-03,3.99625,0.626875
-2.160e-03,4.27438,0.620156
-2.140e-03,4.58156,0.622188
-2.120e-03,4.88625,0.62
-2.100e-03,5.20281,0.62375
-2.080e-03,5.51688,0.626953
-2.060e-03,5.83094,0.626641
-2.040e-03,6.15437,0.627031
-2.020e-03,6.46344,0.632969
-2.000e-03,6.74406,0.626328
-1.980e-03,7.03562,0.634297
-1.960e-03,7.30125,0.633594
-1.940e-03,7.57844,0.634922
-1.920e-03,7.86875,0.634297
-1.900e-03,8.09406,0.630781
-1.880e-03,8.34125,0.634531
-1.860e-03,8.57844,0.636172
-1.840e-03,8.77625,0.636797
-1.820e-03,8.97188,0.636563
-1.800e-03,9.13656,0.634844
-1.780e-03,9.28,0.637109
-1.760e-03,9.41625,0.6425
-1.740e-03,9.53781,0.644219
-1.720e-03,9.65062,0.647109
-1.700e-03,9.75406,0.645234
-1.680e-03,9.82313,0.653281
-1.660e-03,9.87344,0.652188
-1.640e-03,9.91188,0.656094
-1.620e-03,9.92344,0.652734
-1.600e-03,9.91,0.650781
-1.580e-03,9.87031,0.654219
-1.560e-03,9.83563,0.659766
-1.540e-03,9.76594,0.659687
-1.520e-03,9.68625,0.659766
-1.500e-03,9.56813,0.663672
-1.480e-03,9.45094,0.6675
-1.460e-03,9.31156,0.664609
-1.440e-03,9.17687,0.669297
-1.420e-03,9.0075,0.666953
-1.400e-03,8.82563,0.668828
-1.380e-03,8.62094,0.666406
-1.360e-03,8.38875,0.676094
-1.340e-03,8.14125,0.668125
-1.320e-03,7.90906,0.668125
-1.300e-03,7.65156,0.668906
-1.280e-03,7.36469,0.668828
-1.260e-03,7.08625,0.670234
-1.240e-03,6.78063,0.673125
-1.220e-03,6.51156,0.670469
-1.200e-03,6.21438,0.667734
-1.180e-03,5.89594,0.674922
-1.160e-03,5.57938,0.673672
-1.140e-03,5.26219,0.676406
-1.120e-03,4.96344,0.671484
-1.100e-03,4.64813,0.664219
-1.080e-03,4.3275,0.668281
-1.060e-03,4.0675,0.672031
-1.040e-03,3.7975,0.669219
-1.020e-03,3.50219,0.669687
-1.000e-03,3.18375,0.669375
-9.800e-04,2.90969,0.662891
-9.600e-04,2.63031,0.667031
-9.400e-04,2.35094,0.659766
-9.200e-04,2.07125,0.661484
-9.000e-04,1.82781,0.663438
-8.800e-04,1.59875,0.658359
-8.600e-04,1.3875,0.657344
-8.400e-04,1.17062,0.653438
-8.200e-04,0.98375,0.652734
-8.000e-04,0.799375,0.630156
-7.800e-04,0.641875,0.531172
-7.600e-04,0.470312,0.412422
-7.400e-04,0.358437,0.296953
-7.200e-04,0.24375,0.204531
-7.000e-04,0.152188,0.137578
-6.800e-04,0.07375,0.0760156
-6.600e-04,0.0296875,0.0296094
-6.400e-04,0.0059375,0.000859375
-6.200e-04,-0.013125,-0.00726563
-6.000e-04,-0.01375,-0.00648438
-5.800e-04,0.0196875,0.0232812
-5.600e-04,0.090625,0.0667969
-5.400e-04,0.129688,0.129453
-5.200e-04,0.229375,0.198359
-5.000e-04,0.329687,0.277813
-4.800e-04,0.44875,0.388594
-4.600e-04,0.579687,0.502891
-4.400e-04,0.733125,0.603906
-4.200e-04,0.9325,0.646563
-4.000e-04,1.12844,0.64125
-3.800e-04,1.33281,0.638594
-3.600e-04,1.54406,0.62875
-3.400e-04,1.78,0.630391
-3.200e-04,2.03094,0.630625
-3.000e-04,2.29125,0.628672
-2.800e-04,2.56562,0.628359
-2.600e-04,2.84813,0.624609
-2.400e-04,3.12938,0.628047
-2.200e-04,3.44781,0.622891
-2.000e-04,3.72125,0.628125
-1.800e-04,4.01281,0.622969
-1.600e-04,4.26687,0.625156
-1.400e-04,4.58563,0.627734
-1.200e-04,4.89781,0.618281
-1.000e-04,5.20656,0.628906
-8.000e-05,5.51469,0.62625
-6.000e-05,5.84156,0.621328
-4.000e-05,6.13781,0.6275
-2.000e-05,6.45406,0.626641
-0.000e+00,6.73062,0.627578
2.000e-05,7.02969,0.627266
4.000e-05,7.32812,0.629531
6.000e-05,7.60031,0.630547
8.000e-05,7.85438,0.631328
1.000e-04,8.09375,0.634453
1.200e-04,8.35,0.634609
1.400e-04,8.56844,0.634219
1.600e-04,8.77281,0.635938
1.800e-04,8.97094,0.640469
2.000e-04,9.13563,0.637734
2.200e-04,9.27719,0.637813
2.400e-04,9.43344,0.639687
2.600e-04,9.54469,0.644844
2.800e-04,9.65125,0.646719
3.000e-04,9.74625,0.643672
3.200e-04,9.81844,0.64875
3.400e-04,9.88281,0.649844
3.600e-04,9.90719,0.656563
3.800e-04,9.92156,0.654141
4.000e-04,9.90281,0.653516
4.200e-04,9.86594,0.657656
4.400e-04,9.83,0.658125
4.600e-04,9.75656,0.661484
4.800e-04,9.66531,0.663594
5.000e-04,9.57062,0.664922
5.200e-04,9.43688,0.664219
5.400e-04,9.29125,0.665234
5.600e-04,9.17188,0.661094
5.800e-04,9.00281,0.662188
6.000e-04,8.83031,0.666016
6.200e-04,8.62844,0.670391
6.400e-04,8.3725,0.669531
6.600e-04,8.13625,0.667969
6.800e-04,7.8925,0.673125
7.000e-04,7.65031,0.668828
7.200e-04,7.35906,0.672188
7.400e-04,7.08,0.668672
7.600e-04,6.78719,0.675937
7.800e-04,6.51187,0.673672
8.000e-04,6.20312,0.672813
8.200e-04,5.90531,0.667969
8.400e-04,5.58594,0.66875
8.600e-04,5.26719,0.674609
8.800e-04,4.95281,0.676094
9.000e-04,4.64062,0.667422
9.200e-04,4.33875,0.672813
9.400e-04,4.05594,0.672031
9.600e-04,3.78469,0.665859
9.800e-04,3.495,0.667891
1.000e-03,3.20938,0.668594
1.020e-03,2.895,0.66625
1.040e-03,2.64531,0.665703
1.060e-03,2.34875,0.662031
1.080e-03,2.08625,0.663047
1.100e-03,1.82313,0.661094
1.120e-03,1.59938,0.658906
1.140e-03,1.38031,0.662969
1.160e-03,1.1725,0.655391
1.180e-03,0.972187,0.650703
1.200e-03,0.796562,0.625703
1.220e-03,0.635,0.528125
1.240e-03,0.479375,0.406641
1.260e-03,0.365625,0.299141
1.280e-03,0.2375,0.210156
1.300e-03,0.155625,0.135078
1.320e-03,0.085625,0.0709375
1.340e-03,0.0221875,0.02875
1.360e-03,0.0084375,0.00289062
1.380e-03,-0.0171875,-0.00945313
1.400e-03,0,-0.00476563
1.420e-03,0.0334375,0.0255469
1.440e-03,0.0753125,0.0616406
1.460e-03,0.135625,0.126562
1.480e-03,0.224375,0.198359
1.500e-03,0.310313,0.284141
1.520e-03,0.445625,0.387734
1.540e-03,0.593437,0.509687
1.560e-03,0.751875,0.607266
1.580e-03,0.928437,0.646641
1.600e-03,1.13375,0.638125
1.620e-03,1.33062,0.634609
1.640e-03,1.55406,0.634609
1.660e-03,1.75687,0.631328
1.680e-03,2.02687,0.631875
1.700e-03,2.30563,0.627812
1.720e-03,2.5525,0.627109
1.740e-03,2.84844,0.626328
1.760e-03,3.135,0.623828
1.780e-03,3.43969,0.622422
1.800e-03,3.73188,0.628516
1.820e-03,4.02125,0.626953
1.840e-03,4.27719,0.625859
1.860e-03,4.57219,0.621641
1.880e-03,4.89531,0.624766
1.900e-03,5.19813,0.624766
1.920e-03,5.50312,0.624062
1.940e-03,5.84,0.622422
1.960e-03,6.15844,0.625
1.980e-03,6.45156,0.630625
2.000e-03,6.73094,0.623516
2.020e-03,7.015,0.626797
2.040e-03,7.3075,0.632891
2.060e-03,7.58875,0.629766
2.080e-03,7.85719,0.634219
2.100e-03,8.0975,0.631719
2.120e-03,8.36344,0.634687
2.140e-03,8.55687,0.636875
2.160e-03,8.78313,0.638828
2.180e-03,8.97469,0.637266
2.200e-03,9.13,0.640078
2.220e-03,9.275,0.64125
2.240e-03,9.42344,0.642109
2.260e-03,9.5475,0.645703
2.280e-03,9.65563,0.645156
2.300e-03,9.74469,0.645547
2.320e-03,9.81375,0.648359
2.340e-03,9.87375,0.652344
2.360e-03,9.91906,0.650937
2.380e-03,9.91969,0.655234
2.400e-03,9.91219,0.660703
2.420e-03,9.87875,0.657344
2.440e-03,9.81062,0.660078
2.460e-03,9.74563,0.665391
2.480e-03,9.66281,0.659687
2.500e-03,9.55969,0.662109
2.520e-03,9.46156,0.659375
2.540e-03,9.32781,0.669141
2.560e-03,9.17844,0.667734
2.580e-03,9.00688,0.663125
2.600e-03,8.83063,0.663359
2.620e-03,8.62219,0.672109
2.640e-03,8.38375,0.670781
2.660e-03,8.14719,0.668438
2.680e-03,7.89375,0.666719
2.700e-03,7.64938,0.669297
2.720e-03,7.35906,0.672734
2.740e-03,7.08156,0.673359
2.760e-03,6.78844,0.668906
2.780e-03,6.51,0.672031
2.800e-03,6.21969,0.671719
2.820e-03,5.90188,0.669297
2.840e-03,5.5725,0.674687
2.860e-03,5.26719,0.668438
2.880e-03,4.95063,0.669219
2.900e-03,4.64187,0.668438
2.920e-03,4.30719,0.675859
2.940e-03,4.05375,0.670234
2.960e-03,3.79031,0.668906
