x_meters,y_meters,altitude_meters
-195.94683714540332,112.41807083724409,72.0
-195.94683714540332,112.41807083724409,72.0
-201.02181409125495,113.64121503021929,73.4
-201.02181409125495,113.64121503021929,73.4
-206.29451741167065,114.53077444335646,75.0
-206.29451741167065,114.53077444335646,75.0
-206.29451741167065,114.53077444335646,75.0
-214.3353899754592,114.97555415098604,77.1
-214.3353899754592,114.97555415098604,77.1
-214.3353899754592,114.97555415098604,77.1
-222.5739889134974,114.08599473714153,79.0
-222.5739889134974,114.08599473714153,79.0
-222.5739889134974,114.08599473714153,79.0
-230.61486147728593,111.52851142481424,81.1
-230.61486147728593,111.52851142481424,81.1
-235.75574721469388,108.63744333123427,82.3
-235.75574721469388,108.63744333123427,82.3
-240.4352714114174,104.74562089884753,83.4
-240.4352714114174,104.74562089884753,83.4
-240.4352714114174,104.74562089884753,83.4
-247.0920593535719,98.4075100805104,84.8
-247.0920593535719,98.4075100805104,84.8
-247.0920593535719,98.4075100805104,84.8
-251.24431321836917,93.7373231613634,85.6
-251.24431321836917,93.7373231613634,85.6
-251.24431321836917,93.7373231613634,85.6
-258.03291874342665,83.17380513009421,86.8
-258.03291874342665,83.17380513009421,86.8
-258.03291874342665,83.17380513009421,86.8
-258.03291874342665,83.17380513009421,86.8
-258.03291874342665,83.17380513009421,86.8
-258.03291874342665,83.17380513009421,86.8
-259.9442736970918,66.16098135340364,87.9
-259.9442736970918,66.16098135340364,87.9
-257.96700995187035,56.04224302834937,88.2
-257.96700995187035,56.04224302834937,88.2
-257.96700995187035,56.04224302834937,88.2
-253.68293850406536,46.25708948384044,87.8
-253.68293850406536,46.25708948384044,87.8
-253.68293850406536,46.25708948384044,87.8
-253.68293850406536,46.25708948384044,87.8
-253.68293850406536,46.25708948384044,87.8
-238.72164283231635,30.912189607047335,85.7
-238.72164283231635,30.912189607047335,85.7
-238.72164283231635,30.912189607047335,85.7
-238.72164283231635,30.912189607047335,85.7
-238.72164283231635,30.912189607047335,85.7
-226.00124607180427,25.46363820184738,83.0
-226.00124607180427,25.46363820184738,83.0
-226.00124607180427,25.46363820184738,83.0
-226.00124607180427,25.46363820184738,83.0
-212.4899438132456,21.683010695837556,79.5
-212.4899438132456,21.683010695837556,79.5
-205.76724707974438,20.348671575778134,77.6
-205.76724707974438,20.348671575778134,77.6
-205.76724707974438,20.348671575778134,77.6
-192.1241272381779,18.23596797037308,77.6
-192.1241272381779,18.23596797037308,77.6
-192.1241272381779,18.23596797037308,77.6
-192.1241272381779,18.23596797037308,77.6
-192.1241272381779,18.23596797037308,77.6
-178.5469161880629,17.34640855652858,68.3
